path,source,language,If_CAM,labels,Instance,Identify Result
Dsub\crawl\nomisuses\C\189a_print.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189a_sign.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189a_utctm.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189a_utf8.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bio_b64.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bio_err.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bio_lib.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bio_ndef.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bio_ok.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bio_ssl.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189blake2b.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bn_asm.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bn_blind.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bn_div.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bn_lib.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bn_print.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bn_rand.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bn_srp.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bn_x931p.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bss_bio.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bss_file.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189bss_log.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189buffer.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189by_dir.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189by_file.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189b_print.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189b_sock2.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189ca.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189cbc128.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189ccm128.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189cmeth_lib.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189cm_pmeth.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189c_zlib.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\510bignum_sydr.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\510cms_afl.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\510cms_sydr.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\510crl_afl.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\510crl_sydr.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\510fuzz_crypto.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\510x509_afl.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\510x509_sydr.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\57048pgp-mpi-openssl.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\AllTests.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\compare_tests.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\parse_hex4.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\print_array.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\TestProductionCode.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\testsample_mock_param.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\testsample_param.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\testunity.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\unity_fixture_TestRunner.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\unity_setup.c,github,c,0,,-1,
Dsub\crawl\C_code\AES_CBC.cpp,github,cpp,1,Hardcoded key;Insufficient key length;Static IV,-1,
Dsub\crawl\C_code\Blowfish_ECB.cpp,github,cpp,1,Hardcode key;Blowfish used;ECB used,-1,
Dsub\crawl\C_code\CertVerify.cpp,github,cpp,1,Insecure SSL/TLS version used;Insecure certificate verification,-1,
Dsub\crawl\C_code\DES.cpp,github,cpp,1,Hardcode key;DES used;Insufficient key length;ECB used,-1,
Dsub\crawl\C_code\DES_ECB.cpp,github,cpp,1,DES used;ECB used,-1,
Dsub\crawl\C_code\DSA_1024.cpp,github,cpp,1,Insufficient key length,-1,
Dsub\crawl\C_code\Http.cpp,github,cpp,1,HTTP used,-1,
Dsub\crawl\C_code\MD4.cpp,github,cpp,1,MD4 used,-1,
Dsub\crawl\C_code\MD5.cpp,github,cpp,1,MD4 used,-1,
Dsub\crawl\C_code\Prime192v1.cpp,github,cpp,1,Prime192v1 used,-1,
Dsub\crawl\C_code\RC2_CBC.cpp,github,cpp,1,RC2 used;Hardcoded key;Static IV;Insufficient key length;Insufficient IV length,-1,
Dsub\crawl\C_code\RC4.cpp,github,cpp,1,RC4 uesd;Hardcoded key,-1,
Dsub\crawl\C_code\RSA1024.cpp,github,cpp,1,Insufficient key length;Use of deprecated RSA_generate_key function,-1,
Dsub\crawl\C_code\SHA1.cpp,github,cpp,1,SHA1 used;Hardcoded key,-1,
Dsub\crawl\C_code\TLS11.cpp,github,cpp,1,Insecure SSL/TLS version used;Insufficient certificate verification,-1,
Dsub\crawl\Go_code\115routes.go,github,go,1,Insecure certificate verification,-1,
Dsub\crawl\Go_code\115server.go,github,go,1,No salt;HTTP used;Hardcoded credentials;Insecure PBKDF2 iteration count,-1,
Dsub\crawl\Go_code\116gftoken.go,github,go,1,MD5 used,-1,
Dsub\crawl\Go_code\116login.go,github,go,1,MD5 used,-1,
Dsub\crawl\Go_code\116rsa_utils.go,github,go,1,PKCS#1 v1.5 used,-1,
Dsub\crawl\Go_code\116utils.go,github,go,1,MD5 used,-1,
Dsub\crawl\Go_code\120chrome_unix.go,github,go,1,PBKDF2-SHA1 used;Static IV;Insufficient iteration count in PBKDF2;Hardcoded cryptographic secret,-1,
Dsub\crawl\Go_code\120chrome_windows.go,github,go,1,Insecure nonce generation method,-1,
Dsub\crawl\Go_code\120privileges.go,github,go,1,Storing passwords in plain text,-1,
Dsub\crawl\Go_code\120sqlbuilder.go,github,go,1,Hardcoded key,-1,
Dsub\crawl\Go_code\120sqlbuilder_test.go,github,go,1,Storing passwords in plain text,-1,
Dsub\crawl\Go_code\142s3.go,github,go,1,Insecure certificate verification,-1,
Dsub\crawl\Go_code\1452startosis_upload_file_test.go,github,go,1,MD5 used,-1,
Dsub\crawl\Go_code\152translator.go,github,go,1,MD5 used,-1,
Dsub\crawl\Go_code\173main.go,github,go,1,Hardcoded key,-1,
Dsub\crawl\Go_code\173remote.go,github,go,1,Insecure SSL/TLS setting,-1,
Dsub\crawl\Go_code\173remote_tls_test.go,github,go,1,Hardcoded nonce,-1,
Dsub\crawl\Go_code\173stream_writer.go,github,go,1,Insecure SSL/TLS setting;No certificates verification,-1,
Dsub\crawl\Go_code\193userloginlogic.go,github,go,1,Insufficient JWT token security,-1,
Dsub\crawl\Go_code\193userregisterlogic.go,github,go,1,Insecure bcrypt cost parameter,-1,
Dsub\crawl\Go_code\218config.go,github,go,1,Http used,-1,
Dsub\crawl\Go_code\218ed25519_test.go,github,go,1,Hardcoded key,-1,
Dsub\crawl\Go_code\218storage.go,github,go,1,Insecure key storage,-1,
Dsub\crawl\Go_code\228config.go,github,go,1,Hardcoded key;Default mode used;Insufficient key size,-1,
Dsub\crawl\Go_code\235client.go,github,go,1,Insecure SSL/TLS setting,-1,
Dsub\crawl\Go_code\235protocol.go,github,go,1,Insecure SSL/TLS version;Weak cipher suit;No certificate verification,-1,
Dsub\crawl\Go_code\272calico.go,github,go,1,SHA1 used,-1,
Dsub\crawl\Go_code\284gotlsimpl.go,github,go,1,Insecure SSL/TLS version;RC4 used;No certificate verification,-1,
Dsub\crawl\Go_code\284mock_collector.go,github,go,1,No certificate verification;Use of weak random number generator,-1,
Dsub\crawl\Go_code\289cert.go,github,go,1,Insufficient key length,-1,
Dsub\crawl\Go_code\289client.go,github,go,1,HTTP used;Insecure TLS configuration,-1,
Dsub\crawl\Go_code\289ms17010.go,github,go,1,Hardcode key;Predictable IV,-1,
Dsub\crawl\Go_code\289route.go,github,go,1,Insecure host verification;Hardcoded passwords;SHA1 used;Weak cipher,-1,
Dsub\crawl\Go_code\289Runssh.go,github,go,1,Insecure server verification;Storing passwords in plain text,-1,
Dsub\crawl\Go_code\289scanPort.go,github,go,1,Insecure server verification;Insecure SSL/TLS version,-1,
Dsub\crawl\Go_code\289ssh.go,github,go,1,Insecure server verification,-1,
Dsub\crawl\Go_code\289web.go,github,go,1,Insecure host verification;Weak TLS Version Support,-1,
Dsub\crawl\Go_code\302hash.go,github,go,1,MD5 used,-1,
Dsub\crawl\Go_code\325clusterManger.go,github,go,1,HTTP used;Storing passwords in plain text;Transmitting passwords in plain text,-1,
Dsub\crawl\Go_code\325manager.go,github,go,1,Http used,-1,
Dsub\crawl\Go_code\325messageClient.go,github,go,1,HTTP used;Insecure certificates verification;Hardcoded credentials,-1,
Dsub\crawl\Go_code\325modService.go,github,go,1,Insecure certificates verification;Hardcode key;HTTP used,-1,
Dsub\crawl\Go_code\325shareApi.go,github,go,1,HTTP used,-1,
Dsub\crawl\Go_code\352user.go,github,go,1,MD5 used,-1,
Dsub\crawl\Go_code\458gin.go,github,go,1,Default SSL/TLS setting,-1,
Dsub\crawl\Go_code\506blob_test.go,github,go,1,Use of a non-cryptographic hash function for data integrity,-1,
Dsub\crawl\Go_code\506hash_test.go,github,go,1,MD4 used;MD5 used;SHA1 used,-1,
Dsub\crawl\Go_code\507element.go,github,go,1,MD5 used,-1,
Dsub\crawl\Go_code\507form.go,github,go,1,MD5 used,-1,
Dsub\crawl\Go_code\507hash.go,github,go,1,Insecure bcrypt cost parameter,-1,
Dsub\crawl\Go_code\507hex.go,github,go,1,MD5 used,-1,
Dsub\crawl\Go_code\507sioosms.go,github,go,1,Storing passwords in plain text;Transmitting passwords in plain text;MD5 used,-1,
Dsub\crawl\Go_code\646utils.go,github,go,1,SHA1 used;No salt,-1,
Dsub\crawl\Go_code\646vrepo.go,github,go,1,MD5 used;Default mode used;Insecure key generation method,-1,
Dsub\crawl\Go_code\710polyEncrypt.go,github,go,1,RC4 used,-1,
Dsub\crawl\Go_code\720elasticProducer.go,github,go,1,Insecure SSL/TLS setting;Hardcode password;Storing passwords in plain text,-1,
Dsub\crawl\Go_code\937authentication-service.go,github,go,1,Insecure key length;Hardcoded Issue in Token,-1,
Dsub\crawl\Go_code\937mail.go,github,go,1,Insecure SSL/TLS setting;Hardcoded password,-1,
Dsub\crawl\Go_code\Cast5.go,github,go,1,Cast5 used;Hardcoded key;ECB used,-1,
Dsub\crawl\Go_code\DSA_1024.go,github,go,1,Insufficient key length;Use of deprecated DSA_generate_parameters function,-1,
Dsub\crawl\Go_code\TEA.go,github,go,1,TEA used;Hardcoded key;Default mode;Default padding,-1,
Dsub\crawl\Go_code\XTEA.go,github,go,1,XTEA used;Hardcoded key;Default mode,-1,
Dsub\crawl\nomisuses\Go\116utils_test.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\120auth.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\120config.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\120digester.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\120executor_test.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\120helper.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\120privilege.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\120query_runner.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\137signer.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\1452grpc_stream_io_test.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\218bls.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\218key.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\218main.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\218plan.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\218program_execute.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\218public.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\218root.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\218secp256r1_test.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\218signature.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\218spam.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\218utils.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\230account.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\230eth.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\230hdwallet.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\230sampler_filter.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\352handler.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\506os_unix_test.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\506speedtest1_test.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\506vfs.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\937password.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\args.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\bash_completionsV2.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\bash_completionsV2_test.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\cobra_test.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\fish_completions_test.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\md_docs.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\powershell_completions.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\shell_completions.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\yaml_docs_test.go,github,go,0,,-1,
Dsub\crawl\nomisuses\Go\zsh_completions_test.go,github,go,0,,-1,
Dsub\other tools\cryptogo\Blowfish_ECB.go,cryptogo,go,1,Blowfish used;ECB used;Hardcoded key,-1,
Dsub\other tools\cryptogo\CertVerify.go,cryptogo,go,1,Insecure SSL/TLS setting;Insecure certificate verification,-1,
Dsub\other tools\cryptogo\CertVerify2.go,cryptogo,go,1,Insecure SSL/TLS setting,-1,
Dsub\other tools\cryptogo\CertVerify3.go,cryptogo,go,1,Insecure certificate verification,-1,
Dsub\other tools\cryptogo\des.go,cryptogo,go,1,DES used;Hardcode key;Default mode used;No padding,-1,
Dsub\other tools\cryptogo\HTTP.go,cryptogo,go,1,HTTP used,-1,
Dsub\other tools\cryptogo\md4.go,cryptogo,go,1,MD4 used,-1,
Dsub\other tools\cryptogo\md5.go,cryptogo,go,1,MD5 used,-1,
Dsub\other tools\cryptogo\PBKDF2_1000.go,cryptogo,go,1,Hardcoded password;Static salt used;Insufficient salt length;Iteration lower than 10000 in PBKDF2,-1,
Dsub\other tools\cryptogo\PBKDF2_salt.go,cryptogo,go,1,Hardcoded password;Static salt used;Insufficient salt length;Iteration lower than 10000 in PBKDF2,-1,
Dsub\other tools\cryptogo\RC4.go,cryptogo,go,1,Hardcoded password;RC4 used,-1,
Dsub\other tools\cryptogo\RSA1024_SHA1.go,cryptogo,go,1,Insufficient key length;SHA1 used,-1,
Dsub\other tools\cryptogo\RSA_1024.go,cryptogo,go,1,Insufficient key length;PKCS#1 v1.5 used,-1,
Dsub\other tools\cryptogo\SHA1.go,cryptogo,go,1,SHA1 used,-1,
Dsub\other tools\cryptogo\SHA1_RSA.go,cryptogo,go,1,SHA1 used;Insufficient key length,-1,
Dsub\other tools\cryptogo\StaticSalt_PBKDF2.go,cryptogo,go,1,Static salt used,-1,
Dsub\other tools\cryptogo\TLS10.go,cryptogo,go,1,Insecure SSL/TLS version used,-1,
Dsub\other tools\cryptogo\TLS11.go,cryptogo,go,1,Insecure SSL/TLS version used,-1,
Dsub\crawl\Java_code\1466SignUtil.java,github,java,1,Use of weak hashing algorithm HmacSHA1,-1,
Dsub\crawl\Java_code\178EncryptionServiceTest.java,github,java,1,RSA/ECB/PKCS1Padding used,-1,
Dsub\crawl\Java_code\414RSA.java,github,java,1,RSA/ECB/PKCS1Padding used;Hardcoded key;Predictable IV;Insufficient key length,-1,
Dsub\crawl\Java_code\565AesUtil.java,github,java,1,ECB used;Insufficient key length;Default padding;Insecure random number generation,-1,
Dsub\crawl\Java_code\565HuaweiSigner.java,github,java,1,Insecure key derivation method,-1,
Dsub\crawl\nomisuses\Java\1190DingSignUtil.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\1719CryptoCodec.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\1719SFViaEncryptionProvider.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\258IPacketEncryptionManager.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\258MixinClientConnection.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\258MixinServerLoginNetworkHandler.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\258PacketEncryptionManager.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\270HmacUtils.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\2768FingerprintManagerCompat.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\2768FingerprintManagerCompatApi23.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\285DingTalkSecretPush.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\7946BedrockEncryptionEncoder.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\7946BedrockSession.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\AbstractConverter.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\AbstractReadableInstantFieldProperty.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\BasicGJChronology.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\CachedDateTimeZone.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\DateMidnight.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\DateTime.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\DateTimeParserInternalParser.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\DateTimeZone.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\GJDayOfWeekDateTimeField.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\IllegalFieldValueException.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\Months.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\NullConverter.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\OffsetDateTimeField.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\PeriodFormat.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\ReadWritableInterval.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\UnsupportedDurationField.java,github,java,0,,-1,
Dsub\crawl\nomisuses\Java\UTCProvider.java,github,java,0,,-1,
Dsub\other tools\CryptoAPI-Bench\AES.java,CryptoAPI-Bench,java,1,Hardcoded key;ECB used;Insufficient key length,-1,
Dsub\other tools\CryptoAPI-Bench\AESCBC.java,CryptoAPI-Bench,java,1,Hardcoded key;Static IV;Insufficient key length,-1,
Dsub\other tools\CryptoAPI-Bench\AESCBCField.java,CryptoAPI-Bench,java,1,Hardcoded key;PKCS5Padding used,-1,
Dsub\other tools\CryptoAPI-Bench\AESECBCase1.java,CryptoAPI-Bench,java,1,Hardcoded key;ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoABICase1.java,CryptoAPI-Bench,java,1,DES used;ECB used;PKCS5Padding used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoABICase11.java,CryptoAPI-Bench,java,1,DES used;ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoABICase5.java,CryptoAPI-Bench,java,1,DES used;ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoABSCase1.java,CryptoAPI-Bench,java,1,DES used;ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoBBCase5.java,CryptoAPI-Bench,java,1,IDEA used;Default mode used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoBlowfish.java,CryptoAPI-Bench,java,1,Blowfish used;Default key length;Default mode used;Default padding,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoBlowfishCase2.java,CryptoAPI-Bench,java,1,Blowfish used;Default key length;Default mode used;Default padding,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoBlowfishFieldCase1.java,CryptoAPI-Bench,java,1,Blowfish used;Default key length;Default mode used;Default padding,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoBlowfishInFieldCase1.java,CryptoAPI-Bench,java,1,Blowfish used;Default key length;Default mode used;Default padding,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoBlowfishMulC1Main.java,CryptoAPI-Bench,java,1,Blowfish used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoCase1.java,CryptoAPI-Bench,java,1,DES used;ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoCase2.java,CryptoAPI-Bench,java,1,Blowfish used;Default mode used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoCase3.java,CryptoAPI-Bench,java,1,RC4 used;Default mode used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoCase4.java,CryptoAPI-Bench,java,1,RC2 used;Default mode used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoDES.java,CryptoAPI-Bench,java,1,DES used;ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoDESFieldCase1.java,CryptoAPI-Bench,java,1,DES used;ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoDESInFieldCase1.java,CryptoAPI-Bench,java,1,DES used;ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoDESMulC1Main.java,CryptoAPI-Bench,java,1,DES used;ECB used,-1,
Dsub\other tools\CryptoAPI-Bench\BrokenCryptoIDEA.java,CryptoAPI-Bench,java,1,IDEA used;Default mode used;Default padding,-1,
